"id","decoration_name","mission_name","is_medal","is_ribbon"
"ribbon_medal_decoration_shimanto","Shimanto","Shimanto",1,1
"ribbon_medal_decoration_pvm_seba","President VDP Medal Seba","PVM_Seba",1,1
"ribbon_medal_decoration_minujusth","Minujusth","Minujusth",1,1
"ribbon_medal_decoration_unssm","United Nations Special Service Mission","UNSSM",1,1
"ribbon_medal_decoration_medal_of_merit","Medal Of Merit","Medal Of Merit",1,1
"ribbon_medal_decoration_bar_to_the_medal_of_merit","BMM","Bar To The Medal Of Merit",1,1
"ribbon_medal_decoration_chief_national_comisioner","CNC","Chief National Comisioner",1,1
"ribbon_medal_decoration_shavapati","Shavapati","Shavapati",1,1
"ribbon_medal_decoration_dankon_march","Dankon March","Dankon March",1,1
"ribbon_medal_decoration_bangladesh_ansar_vdp_medal_shashikata","BVM Shahshikata","Bangladesh Ansar Vdp Medal Shashikata",1,1
"ribbon_medal_decoration_unmha","United Nations Mission to Support the Hudaydah Agreement in Yemen","UNMHA",1,1
"ribbon_medal_decoration_2008_election","Election2008","2008 Election",1,1
"ribbon_medal_decoration_2014_election","Election2014","2014 Election",1,1
"ribbon_medal_decoration_2018_election","Election2018","2018 Election",1,1
"ribbon_medal_decoration_norcon_march","Norcon March","Norcon March",1,1
"ribbon_medal_decoration_bangabandhu_award","Bangabandhu Award","Bangabandhu Award",1,1
"ribbon_medal_decoration_janma_shata_barshiki","Bangabandhu Janma Shatabarshiki","Janma Shata Barshiki",1,1
"ribbon_medal_decoration_shadhinata_100","Golden Jubilee Of Independence","Shadhinata 100",1,1
"ribbon_medal_decoration_president_ansar_medal_sheba","PAM Sheba","President Ansar Medal Sheba",1,1
"ribbon_medal_decoration_president_ansar_medal_gallantry","PAM Gallantry","President Ansar Medal Gallantry",1,1
"ribbon_medal_decoration_2024_election","Election2024","2024 Election",1,1
"ribbon_medal_decoration_bam_galantry","Bangladesh Ansar Medal Gallantry","BAM Galantry",1,1
"ribbon_medal_decoration_minusca","Central African republic","MINUSCA",1,1
"ribbon_medal_decoration_unsmil","Libia","UNSMIL",1,1
"ribbon_medal_decoration_unficyp","Cyprus","UNFICYP",1,1
